OBJECTID,COCNAME,STUSAB,COCNUM,STATE_NAME,PPRN,ES_CN_HWACW,ES_CN_HWOA_TOT,ES_CN_HWOC,ES_CN_VET,ES_VSO_HWAC_TOT,ES_VSO_HWOA_TOT,ES_VSO_HWOC_TOT,ES_VSO_VET_TOT,TH_CN_HWAC_TOT,TH_CN_HWOA,TH_CN_HWOC,TH_CN_VET,RRH_CN_HWAC_TOT,RRH_CN_HWOA,RRH_CN_HWOC,RRH_CN_VET,PSH_CN_HWAC_TOT,PSH_CN_HWOA,PSH_CN_HWOC,PSH_CN_VET,PSH_CN_CH,PSH_U_HWAC_TOT,PSH_U_HWOA,PSH_U_HWOC,PSH_U_VET,PSH_U_CH,SH_CN_HWOA,SH_CN_HWOC,SH_CN_VET,SH_PERS_HWOA,UNSH_PERS_HWOA,SH_PERS_HWOC,UNSH_PERS_HWOC,SH_PERS_HWAC,UNSH_PERS_HWAC,SH_CH,UNSH_CH,SH_UY,UNSH_UY,SH_VETS,UNSH_VETS,STATE,Contact_Type,Prefix,First_Name,Last_Name,Suffix,Title,Primary_Phone,Primary_Phone_Ext,Fax,Email_Address,YEAR,Shape__Area,Shape__Length
1,Anchorage CoC,,AK-500,Alaska,2285174,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,336,10,0,378,10,336,48,,,59,11,,,,,,,,,,,,,19229920380.7188,738547.12284853
2,Alaska Balance of State CoC,,AK-501,Alaska,787781,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,129,11,4,279,0,203,64,,,28,8,,,,,,,,,,,,,8121683955228.24,123340582.24081
3,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",,AL-500,Alabama,10512736,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,389,4,0,120,6,115,113,,,60,20,,,,,,,,,,,,,9665540759.21484,623009.677219009
4,Mobile City & County/Baldwin County CoC,,AL-501,Alabama,5414310,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,280,0,0,163,71,19,101,,,58,25,,,,,,,,,,,,,10208319088.3535,1198697.53839189
5,Florence/Northwest Alabama CoC,,AL-502,Alabama,975779,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,54,8,0,74,0,0,0,,,3,3,,,,,,,,,,,,,15596814200.6367,551552.341414084
6,Huntsville/North Alabama CoC,,AL-503,Alabama,1679560,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,232,19,0,100,13,6,65,,,21,1,,,,,,,,,,,,,7752045501.88281,448446.51656635
7,Montgomery City & County CoC,,AL-504,Alabama,2701256,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,135,0,1,89,5,19,41,,,33,5,,,,,,,,,,,,,12406634606.2734,734411.968589695
8,Gadsden/Northeast Alabama CoC,,AL-505,Alabama,1590025,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,281,0,0,0,3,8,44,,,6,11,,,,,,,,,,,,,9625401144.80469,561535.89541385
9,Tuscaloosa City & County CoC,,AL-506,Alabama,711666,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,17,0,0,18,0,5,0,,,7,0,,,,,,,,,,,,,5022046114.66406,349027.237531744
10,Alabama Balance of State CoC,,AL-507,Alabama,5321307,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,687,0,4,26,447,17,267,,,0,35,,,,,,,,,,,,,106733557844.668,3685309.79528104
11,"Dothan/Coffee, Dale, Geneva, Henry, Houston County CoC",,AL-508,Alabama,919320,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,61,0,0,24,12,4,7,,,3,0,,,,,,,,,,,,,10580985020.5332,471947.729843234
12,Little Rock/Central Arkansas CoC,,AR-500,Arkansas,3048987,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,366,0,0,383,98,292,402,,,54,21,,,,,,,,,,,,,11601053467.168,697242.063579484
13,Fayetteville/Northwest Arkansas CoC,,AR-501,Arkansas,2010855,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,177,0,0,65,16,56,94,,,32,18,,,,,,,,,,,,,13186174619.6172,499815.867557032
14,Arkansas Balance of State  CoC,,AR-503,Arkansas,5210075,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,459,2,2,94,21,38,92,,,33,27,,,,,,,,,,,,,120758190586.82,3128741.18264284
15,Southeast Arkansas CoC,,AR-505,Arkansas,1357149,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,32,0,0,7,0,0,0,,,1,0,,,,,,,,,,,,,43338438696.6094,1287326.4077104
16,Fort Smith CoC,,AR-508,Arkansas,1071018,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,163,0,0,64,0,40,80,,,24,16,,,,,,,,,,,,,16518854418.707,722641.163083126
17,American Samoa CoC,,AS-500,American Samoa,824643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212040874.617188,268410.603014846
18,Arizona Balance of State CoC,,AZ-500,Arizona,6456360,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,1642,5,2,397,290,190,717,,,222,151,,,,,,,,,,,,,366339477734.992,4096033.3392743
