,id,date,shelter_name,City,state,total_capacity,occupied_beds,available_beds,occupancy_rate,average_age,male_percentage,female_percentage,season,notes,CBSA,CBSA Code,Year,"Land Value (Per Acre, As-Is)","Land Value (1/4 Acre Lot, Standardized)",Land Share of Property Value,Home Price Appreciation (HPA),State
0,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2012,165200,45200,0.274,1.0,TX
1,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2013,195900,53600,0.303,1.073,TX
2,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2014,228500,62500,0.33,1.149,TX
3,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2015,284700,77900,0.376,1.2550000000000001,TX
4,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2016,352800,96500,0.428,1.366,TX
5,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2017,412500,112900,0.462,1.482,TX
6,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2018,470100,128600,0.483,1.614,TX
7,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2019,509600,139400,0.502,1.684,TX
8,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2020,570300,156000,0.526,1.798,TX
9,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2021,662400,181200,0.526,2.087,TX
10,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2022,848200,232100,0.557,2.528,TX
11,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2023,875100,239400,0.5650000000000001,2.568,TX
12,1,2023-10-05,Sunrise Shelter,Dallas,TX,85,62,23,72.9,19,43,57,Spring,High demand,"Dallas, TX",19100,2024,892200,244100,0.5660000000000001,2.613,TX
